experiment,replicate,inhibitor,unit,concentration,Haploid,Diploid,Tetraploid
4,7,Doxorubicin,nM,1250,-0.012078978,-0.004624277,-0.003773585
4,7,Doxorubicin,nM,625,-0.017653891,0.001981833,-0.000754717
4,7,Doxorubicin,nM,312.5,0.002787456,0.0059455,0.005283019
4,7,Doxorubicin,nM,156.25,-0.012078978,0.007266722,0.023396226
4,7,Doxorubicin,nM,78.125,-0.006504065,0.019157721,0.03245283
4,7,Doxorubicin,nM,39.0625,0.08641115,0.094467382,0.124528302
4,7,Doxorubicin,nM,19.53125,0.28524971,0.258298927,0.221132075
4,7,Doxorubicin,nM,9.765625,0.653193961,0.667877787,0.536603774
4,7,Doxorubicin,nM,4.8828125,0.820441347,1.014037985,0.769056604
4,7,Doxorubicin,nM,2.44140625,0.928222997,1.025928984,0.968301887
4,7,Doxorubicin,nM,1.220703125,0.842740999,0.946655656,0.983396226
4,7,Doxorubicin,nM,0.610351563,0.956097561,0.984971098,1.001509434
4,8,Doxorubicin,nM,1250,-0.019680482,-0.007587253,-0.00570417
4,8,Doxorubicin,nM,625,-0.040055568,-0.002191873,-0.007277734
4,8,Doxorubicin,nM,312.5,-0.040055568,-0.002191873,0.005310779
4,8,Doxorubicin,nM,156.25,-0.027089604,-0.006238408,0.010031471
4,8,Doxorubicin,nM,78.125,-0.006714517,-0.003540718,0.016325728
4,8,Doxorubicin,nM,39.0625,0.084047233,0.105715731,0.131195909
4,8,Doxorubicin,nM,19.53125,0.208150035,0.231158321,0.228756884
4,8,Doxorubicin,nM,9.765625,0.593424404,0.634462991,0.625295043
4,8,Doxorubicin,nM,4.8828125,0.878675619,0.920418142,0.91797797
4,8,Doxorubicin,nM,2.44140625,0.97128965,1.006744225,0.999803304
4,8,Doxorubicin,nM,1.220703125,0.974994212,1.035069971,1.122541306
4,8,Doxorubicin,nM,0.610351563,0.902755267,0.98920924,1.065892998
1,1,GSK-923295,nM,625,0.101812191,0.078099839,0.07208323
1,1,GSK-923295,nM,312.5,0.084019769,0.066827697,0.057220708
1,1,GSK-923295,nM,156.25,0.099835255,0.070048309,0.058706961
1,1,GSK-923295,nM,78.125,0.147281713,0.070048309,0.054248204
1,1,GSK-923295,nM,39.0625,0.530807249,0.18921095,0.058706961
1,1,GSK-923295,nM,19.53125,0.99538715,0.765700483,0.244488482
1,1,GSK-923295,nM,9.765625,0.973640857,0.938003221,0.831558088
1,1,GSK-923295,nM,4.8828125,0.979571664,0.981481481,0.846420609
1,1,GSK-923295,nM,2.44140625,0.951894563,0.963768116,1.06638593
1,1,GSK-923295,nM,1.220703125,1.040856672,1.020128824,0.836016844
1,1,GSK-923295,nM,0.610351563,1.092257002,0.921900161,0.940054496
1,1,GSK-923295,nM,0.305175781,0.892586491,0.899355878,0.90141194
1,2,GSK-923295,nM,625,0.041578149,0.038029607,0.05162767
1,2,GSK-923295,nM,312.5,0.04339909,0.03496682,0.047049847
1,2,GSK-923295,nM,156.25,0.056145675,0.03496682,0.045523906
1,2,GSK-923295,nM,78.125,0.15447648,0.042623788,0.045523906
1,2,GSK-923295,nM,39.0625,0.647951442,0.171260847,0.045523906
1,2,GSK-923295,nM,19.53125,0.919271624,0.782286881,0.170651068
1,2,GSK-923295,nM,9.765625,1.024886191,0.972179684,0.982451679
1,2,GSK-923295,nM,4.8828125,1.068588771,1.08244002,1.041963377
1,2,GSK-923295,nM,2.44140625,0.975720789,1.08244002,0.996185148
